path	format	reader	declared_records
Data/Image/ACOusters.ispk	index	indexed	1696
Data/Image/ACOustersShadow.sspk	shadow	indexed	1664
Data/Image/ACSlayerMan.ispk	index	indexed	8589
Data/Image/ACSlayerManShadow.sspk	shadow	indexed	8566
Data/Image/ACSlayerWoman.ispk	index	indexed	8705
Data/Image/ACSlayerWomanShadow.sspk	shadow	indexed	8620
Data/Image/ACVampireMan.ispk	index	indexed	1664
Data/Image/ACVampireManShadow.sspk	shadow	indexed	1664
Data/Image/ACVampireWoman.ispk	index	indexed	1674
Data/Image/ACVampireWomanShadow.sspk	shadow	indexed	1672
Data/Image/Addon.ispk	index	indexed	41034
Data/Image/Addon.sspk	shadow	indexed	35313
Data/Image/Creature.ispk	index	indexed	64098
Data/Image/Creature.sspk	shadow	indexed	63810
Data/Image/Effect.aspk	alpha_palette	indexed	19641
Data/Image/Effect.spk	pixels	indexed	339
Data/Image/Effect.sspk	shadow	eager	3
Data/Image/EffectScreen.spk	palette	indexed	6799
Data/Image/ImageObject.spk	pixels	indexed	7278
Data/Image/ImageObject.sspk	shadow	indexed	7278
Data/Image/ItemBroken.spk	pixels	indexed	97
Data/Image/ItemDrop.ispk	index	indexed	5304
Data/Image/ItemTile.ispk	index	indexed	1326
Data/Image/Ousters.ispk	index	indexed	4456
Data/Image/Ousters.sspk	shadow	indexed	4456
Data/Image/Tile.spk	pixels	indexed	25769
DATA/UI/SPK/ArrowTile.spk	pixels	indexed	76
Data/Ui/spk/AssembleMessageBox.spk	pixels	indexed	8
Data/Ui/spk/AssembleMessageBoxButtonOusters.spk	pixels	indexed	55
Data/Ui/spk/AssembleMessageBoxButtonSlayer.spk	pixels	indexed	55
Data/Ui/spk/AssembleMessageBoxButtonVampire.spk	pixels	indexed	55
Data/Ui/spk/AssembleMessageBoxOusters.spk	pixels	indexed	12
Data/Ui/spk/AssembleMessageBoxSlayer.spk	pixels	indexed	10
Data/Ui/spk/AssembleMessageBoxVampire.spk	pixels	indexed	10
Data/Ui/spk/BulletinBoard.spk	pixels	indexed	7
Data/Ui/spk/BuyDialogSlayer.spk	pixels	indexed	13
Data/Ui/spk/CTF.spk	pixels	indexed	4
