# Korean name or description from Data/Info/NPC.inf <TAB> English. Generated Client/MNPCTableEnglish.cpp with npc_gen.pl.
곤베네스	Gonbenis
그루버	Gruber
그리픈	Griffin
그리피스	Griffith
나이샤스	Naishas
낸시	Nancy
니콜라이	Nikolai
니트리샤	Nitrisha
데니스	Dennis
데이비드	David
드레이크	Drake
라르바	Larva
라비니아	Lavinia
라흐마노프	Rachmaninov
레베카	Rebecca
레이븐	Raven
레프리	Lepri
로빈	Robin
로와	Rowa
리사	Lisa
리차드슨	Richardson
리파티	Ripati
마네스쿠	Manescu
마리	Marie
마크	Mark
매튜	Matthew
머피	Murphy
몰록	Moloch
미네센스	Minescence
미클리즈	Mikliz
바룬	Barun
발레리	Valerie
베르나도	Bernado
베아트릭스	Beatrix
벨레고스트	Belegost
브렌다	Brenda
브리콜라카스	Vrykolakas
산드라	Sandra
살라맨더	Salamander
샤모르	Chamor
소냐	Sonya
스마이로비치	Smirovich
스미스	Smith
스킵	Skip
스토야노프	Stoyanov
스파르탄	Spartan
시모네	Simone
시오람	Sioram
싱	Singh
쎄쓰	Seth
아그네	Agnes
아르고나스	Argonas
아리오크	Arioch
아마타	Amata
아미	Amy
아이만	Aiman
아일린	Eileen
알렌	Allen
야마모토	Yamamoto
에아	Ea
엘렌	Ellen
엘루니아	Elunia
여와	Nuwa
예브게니	Yevgeny
옥타부스도우미1	Octavus Helper 1
옥타부스도우미2	Octavus Helper 2
요시하라	Yoshihara
요한	Johan
이그니엄	Ignium
이모르탈러티	Immortality
자크	Jacques
잭	Jack
쟌	Jean
제프	Jeff
존	John
주디스	Judith
카르멘	Carmen
카이저	Kaiser
카인	Cain
카임	Caim
카콘	Kakon
카파티니	Carpatini
케빈	Kevin
코난	Conan
크라이프	Kreif
크로우	Crow
크리스	Chris
크리스틴	Christine
타냐	Tanya
테르티우스도우미1	Tertius Helper 1
테르티우스도우미2	Tertius Helper 2
테리	Terry
트리스탄	Tristan
파비안	Fabian
파프니르	Fafnir
패트리샤	Patricia
펜타누스도우미1	Pentanus Helper 1
펜타누스도우미2	Pentanus Helper 2
프라오로스	Praoros
프레드릭	Frederick
프리야	Priya
피스케이트	Piscate
하스브로	Hasbro
한	Han
한니발	Hannibal
헌트	Hunt
헤롤드	Harold
호라	Hora
훈련소교관	Training Camp Instructor
AR, SG 판매	Sells ARs and SGs
SMG 판매	Sells SMGs
검 기술 교육, 검 판매	Sword skill training, sells swords
공성 공격측 지원	Castle Siege attacker support
공성 수비측 지원	Castle Siege defender support
던전 이동 도우미	Dungeon travel guide
던전 입장 석상  	Dungeon entrance statue
도 기술 교육, 도 판매	Blade skill training, sells blades
도서관 담당	Librarian
라옴 던전 최하층 입장	Entry to the lowest level of Laom Dungeon
레어퀘스트, 부활위치 지정, 이벤트퀘스트 담당	Rare quests, respawn point, event quests
리스토어	Restore
모터사이클 및 탄창 판매, 모터사이클 관리	Sells motorcycles and magazines, motorcycle care
목걸이, 팔찌, 반지 판매	Sells necklaces, bracelets and rings
무기 및 비드 판매, 뱀파이어 기술 교육	Sells weapons and Beads, Vampire skill training
무기 지급 담당	Issues weapons
무기 판매 및 성향 조정	Sells weapons, adjusts Alignment
무기 판매 및 전쟁참가	Sells weapons, war enlistment
방패 판매, 은도금	Sells shields, silver plating
뱀파이어 기술 교육	Vampire skill training
뱀파이어 무기, 비드 판매, 이벤트퀘스트 담당	Sells Vampire weapons and Beads, event quests
뱀파이어 코트 판매	Sells Vampire Coats
변신 아이템 및 씰 판매, 보관함 판매 및 관리, 퀘스트 담당	Sells transformation items and Seals, Storage sales and management, quests
변신아이템, 혈청 및 씰 판매, 보관 및 수리	Sells transformation items, Serums and Seals, storage and repairs
보관함 판매 및 관리	Storage sales and management
보관함 판매 및 관리, 퀘스트 담당	Storage sales and management, quests
브리핑 및 미션 담당, 이벤트퀘스트 담당	Briefings and missions, event quests
상의, 하의, 벨트, 모자 판매	Sells tops, bottoms, belts and hats
상하의, 벨트, 헬멧 판매	Sells body armor, leg armor, belts and helmets
성향 회복	Restores Alignment
셉티무스성 석상	Septimus Castle statue
수리	Repairs
수리 및 방어구 판매, 계급 스킬 초기화	Repairs, sells armor, resets Rank skills
수리 및 보관	Repairs and storage
수리, 부활위치 지정, 수익금 관리 및 보관함 관리	Repairs, respawn point, revenue and Storage management
수리, 악세사리 및 변신아이템 판매	Repairs, sells accessories and transformation items
수리, 은도금	Repairs, silver plating
승직 무기 교환	Advancement weapon exchange
신발, 장갑 판매	Sells boots and gloves
신발, 장갑, 방패 판매	Sells boots, gloves and shields
아이템 매매	Buys and sells items
아이템 매매, 전쟁참가	Buys and sells items, war enlistment
아이템 매매, 정보검색	Buys and sells items, information search
아이템 수리, 길드 관련, PK존 이동	Item repairs, Guild matters, PK zone travel
아이템 판매 및 치료, 계급 스킬 초기화	Sells items, healing, resets Rank skills
아이템 판매 및 후송위치 지정	Sells items, sets evacuation point
아이템 판매, 계급 스킬 초기화	Sells items, resets Rank skills
아이템 판매, 보관함 판매 및 관리	Sells items, Storage sales and management
악세사리 판매	Sells accessories
악세사리 판매 및 전쟁참가	Sells accessories, war enlistment
악세사리 판매 및 커플 신청	Sells accessories, couple registration
악세사리 판매, 수리 및 보관	Sells accessories, repairs and storage
야전사령부 경비	Field Headquarters guard
옥타부스성 석상	Octavus Castle statue
의상 판매	Sells clothing
인챈트 기술 교육, 메이스 판매	Enchant skill training, sells maces
정보, 전쟁참가, 수익금 관리 및 보관함 관리	Information, war enlistment, revenue and Storage management
정찰 임무 수행원	Reconnaissance agent
총 기술 교육, SR 판매	Gun skill training, sells SRs
치료 및 아이템 매매	Healing, buys and sells items
치료 및 아이템 판매	Healing, sells items
치료, 포션 및 탄창 판매	Healing, sells potions and magazines
컴퓨터 담당	Computer operator
코트 판매	Sells Coats
코트판매 및 전쟁참가	Sells Coats, war enlistment
쿠아르투스성 석상	Quartus Castle statue
테르티우스성 석상	Tertius Castle statue
펜타누스 성 입장 허가	Grants entry to Pentanus Castle
헥시리우스 성 입장 허가	Grants entry to Hexserius Castle
헬기 이동	Helicopter travel
혈청, 변신아이템 및 씰 판매, 수리 및 보관	Sells Serums, transformation items and Seals, repairs and storage
훈련소입장도우미	Training Camp entry guide
힐링 기술 교육, 십자가 판매	Healing skill training, sells crosses
